model,trial,mean_macro_f1,fold_std,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,num_leaves,min_child_samples,C,n_estimators,min_samples_leaf,max_features,alpha
rforest,5,0.6650057334554407,0.013795879558560115,10.0,,,,,,,,,,,300.0,12.0,0.2587427334594358,
rforest,6,0.6922510103777684,0.014118680817468341,29.0,,,,,,,,,,,500.0,2.0,0.17333336736061414,
rforest,7,0.6853632375222274,0.0159269139077665,23.0,,,,,,,,,,,400.0,4.0,0.39714706104421116,
rforest,8,0.693089813583925,0.011091242542223335,30.0,,,,,,,,,,,600.0,6.0,0.06454742606074328,
rforest,9,0.6896789720907592,0.018626133551851925,38.0,,,,,,,,,,,500.0,10.0,0.35709129659927225,
compnb,0,0.6658708639211296,0.005463058948697059,,,,,,,,,,,,,,,2.0171415031085314
compnb,1,0.6491152869953216,0.010655774624341306,,,,,,,,,,,,,,,8.650324843834849
compnb,2,0.6759879917658275,0.003953009717934703,,,,,,,,,,,,,,,0.0015582501903394184
compnb,3,0.6702960858723479,0.0036302981229739692,,,,,,,,,,,,,,,0.6304559151011249
compnb,4,0.6760801366341972,0.004004148993613935,,,,,,,,,,,,,,,0.002543828218459168
compnb,5,0.674785769372495,0.003282049719584308,,,,,,,,,,,,,,,0.0615757574338742
compnb,6,0.6731849819038077,0.0030926910364917374,,,,,,,,,,,,,,,0.438318389129989
compnb,7,0.6760852059645652,0.0038622166116480156,,,,,,,,,,,,,,,0.006240169840651902
compnb,8,0.6745089491518208,0.00309677953946152,,,,,,,,,,,,,,,0.23976103952902514
compnb,9,0.6755446186185596,0.003561125258993806,,,,,,,,,,,,,,,0.11627072482666526
