feature,importance
0282,0.0008258895
4895,0.0008252042
2855,0.0008245703
0205,0.0008227747
0671,0.0008226888
0842,0.0008220878
3542,0.00082175696
0310,0.0008216081
2812,0.00082152366
0149,0.0008215204
1435,0.00081961835
0146,0.000819543
3098,0.0008194909
0575,0.0008187188
0719,0.0008178645
3631,0.00081628223
0558,0.0008151945
0537,0.00081511127
0508,0.00081480975
2178,0.00081469613
1847,0.0008142586
0797,0.00081417424
0922,0.0008140529
1804,0.0008133705
0704,0.0008129803
3202,0.00081196614
1812,0.0008116124
2113,0.00081080233
0256,0.0008107866
4102,0.00081076444
0773,0.0008091947
0500,0.0008066023
1763,0.000806034
2331,0.00080549216
1016,0.0008053906
2783,0.0008044038
1839,0.0008036222
1907,0.0008030299
1582,0.0008027525
0995,0.0008021871
0151,0.0008012182
3743,0.0008008649
0849,0.0008008237
0454,0.00080047245
0314,0.0007999299
1706,0.000799574
2443,0.00079930114
1721,0.00079916825
1913,0.0007983358
0837,0.000797727
4531,0.0007976669
1083,0.0007976539
1235,0.0007954072
0253,0.0007953903
2292,0.0007952122
2127,0.0007946422
0421,0.00079464127
1996,0.0007944164
2288,0.0007942932
2751,0.0007941097
2170,0.00079394615
0377,0.0007932899
2332,0.0007929402
1327,0.00079292455
3555,0.00079220964
3317,0.00079180615
0315,0.0007915226
0927,0.0007914792
2185,0.00078963186
0845,0.00078915723
2285,0.0007891568
1941,0.0007890659
1992,0.0007878352
0550,0.00078782666
1965,0.0007875703
0135,0.00078742526
1819,0.0007871351
3818,0.000787115
2041,0.00078706007
0407,0.0007870007
1208,0.00078552327
1823,0.0007852678
2141,0.00078516494
2532,0.0007850966
0461,0.00078482064
2422,0.0007847291
2179,0.0007844976
0245,0.0007836225
1254,0.00078308914
2231,0.0007827071
0992,0.00078237546
2148,0.0007815813
3054,0.0007812053
0049,0.0007811693
0385,0.0007807775
0075,0.0007796698
4993,0.0007794969
2574,0.00077825214
4173,0.00077821425
0869,0.00077694404
2267,0.0007768052
1010,0.00077676977
3447,0.00077663467
2897,0.0007763862
1611,0.0007761568
1758,0.00077593856
1616,0.0007758475
1491,0.0007749615
1323,0.0007749479
1703,0.00077477004
0702,0.00077456573
1040,0.00077343
0659,0.0007721281
2636,0.00077211554
0840,0.00077186007
0874,0.00077108963
3746,0.0007703304
3096,0.00076952396
2500,0.0007688562
0877,0.0007683271
1080,0.0007676138
0268,0.0007667081
0526,0.0007665742
2766,0.0007664656
0672,0.0007652778
2134,0.00076507835
3465,0.0007646872
2647,0.0007638323
1783,0.0007637996
1814,0.0007633132
0384,0.00076327013
0030,0.0007626378
0681,0.00076260604
0148,0.00076222833
0966,0.00076222484
0764,0.0007587546
3289,0.00075851765
3897,0.0007582283
0779,0.00075785816
2002,0.00075773365
2805,0.00075719657
2501,0.0007559623
0090,0.0007553965
2673,0.00075468235
0247,0.0007541845
1660,0.0007532188
0264,0.00075275806
0588,0.0007526275
0639,0.0007523189
0476,0.0007522979
0417,0.0007522629
1024,0.00075201
0187,0.00075193174
0077,0.00075186044
2090,0.0007507776
2072,0.0007507598
2333,0.0007504378
1696,0.0007495239
1302,0.0007484302
1498,0.00074733054
4480,0.0007472949
0171,0.0007470789
0396,0.0007454357
0536,0.00074536196
1604,0.00074512744
3191,0.000743843
0501,0.0007431579
1178,0.0007417031
1298,0.0007404944
0215,0.0007403995
3269,0.0007403933
0456,0.0007401636
0152,0.00073965016
0355,0.00073931593
0573,0.00073873793
1672,0.00073843915
2568,0.0007379856
1133,0.0007377562
0369,0.0007365699
4908,0.0007362544
0284,0.0007361719
2596,0.00073586364
4183,0.0007354613
0753,0.0007349026
0016,0.0007347225
1291,0.000734555
0661,0.00073447626
2342,0.00073387515
1735,0.00073359377
2066,0.000732935
0954,0.0007327966
0471,0.00073221803
0592,0.00073185004
1786,0.00073150476
2375,0.000730491
0073,0.00073005236
0098,0.0007295631
0557,0.0007293342
2158,0.0007287064
0481,0.00072842557
0673,0.0007279233
2948,0.00072745024
1678,0.00072683307
0045,0.0007250289
0450,0.0007248997
2799,0.0007245721
1118,0.0007237244
0076,0.00072362355
1466,0.00072344043
1443,0.0007232936
2222,0.00072298315
0080,0.0007229475
3838,0.000722268
2229,0.00072208693
2287,0.0007216758
0096,0.0007216096
0570,0.00072116044
2756,0.0007210408
3472,0.00072093174
2347,0.00072084746
0897,0.0007203035
2037,0.0007192186
3689,0.0007191327
1353,0.0007189703
1558,0.0007184332
0740,0.00071823585
0789,0.000717302
2795,0.0007169937
1405,0.00071646133
2849,0.00071555923
0495,0.0007153483
2363,0.0007150293
1007,0.000714984
3295,0.0007147562
1641,0.00071372377
0334,0.0007134213
1547,0.000713286
0022,0.0007131385
0455,0.0007128349
0881,0.0007127288
0518,0.000712166
3017,0.00071162026
1438,0.0007110371
0216,0.0007099632
0705,0.0007094855
2784,0.00070912007
1617,0.0007077555
0980,0.0007077293
1322,0.0007076658
1427,0.0007073975
1479,0.0007073917
0139,0.00070588506
2955,0.0007051745
0302,0.00070446485
3080,0.00070246716
3836,0.0007015476
0395,0.0007013128
0556,0.00070105836
